Pathway,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
PWY-5651: L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5655: L-tryptophan degradation IX,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5656: mannosylglycerate biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5659: GDP-mannose biosynthesis,79,44,40,52,62,44,39,43,31,46,71,58
PWY-5660: taxol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5667: CDP-diacylglycerol biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5672: ginsenosides biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5675: nitrate reduction V (assimilatory),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5676: acetyl-CoA fermentation to butanoate II,89,86,56,45,87,55,26,89,83,96,86,98
PWY-5686: UMP biosynthesis,100,100,98,98,100,100,88,100,100,100,100,99
PWY-5690: TCA cycle II (plants and fungi),81,89,89,78,94,65,66,86,90,96,96,99
PWY-5692: allantoin degradation to glyoxylate II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation,71,78,94,72,94,46,64,99,99,83,69,99
PWY-5705: allantoin degradation to glyoxylate III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5710: capsaicin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5723: Rubisco shunt,0,0,0,1,0,3,0,0,0,0,0,0
PWY-5724: superpathway of atrazine degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5737: (5R)-carbapenem carboxylate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5741: ethylmalonyl-CoA pathway,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5743: 3-hydroxypropanoate cycle,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5744: glyoxylate assimilation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5747: 2-methylcitrate cycle II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5751: phenylethanol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5754: 4-hydroxybenzoate biosynthesis I (eukaryotes),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5757: fosfomycin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5789: 3-hydroxypropanoate/4-hydroxybutanate cycle,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-5823: superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5826: hypoglycin biosynthesis,0,0,0,4,0,0,5,0,0,0,0,0
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",0,0,0,0,0,0,0,0,0,0,0,0
PWY-5838: superpathway of menaquinol-8 biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5840: superpathway of menaquinol-7 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5845: superpathway of menaquinol-9 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5850: superpathway of menaquinol-6 biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5863: superpathway of phylloquinol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5864: superpathway of plastoquinol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5870: ubiquinol-8 biosynthesis (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5871: ubiquinol-9 biosynthesis (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5872: ubiquinol-10 biosynthesis (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5873: ubiquinol-7 biosynthesis (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5875: staphyloxanthin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5885: wax esters biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5896: superpathway of menaquinol-10 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5897: superpathway of menaquinol-11 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5898: superpathway of menaquinol-12 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5899: superpathway of menaquinol-13 biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5913: TCA cycle VI (obligate autotrophs),50,54,30,44,38,28,48,36,46,30,27,16
PWY-5915: phycoerythrobilin biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5918: superpathay of heme biosynthesis from glutamate,0,0,0,1,0,0,0,0,0,0,0,0
PWY-5920: superpathway of heme biosynthesis from glycine,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5940: streptomycin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5941: glycogen degradation II (eukaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5958: acridone alkaloid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5971: palmitate biosynthesis II (bacteria and plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5972: stearate biosynthesis I (animals and fungi),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5973: cis-vaccenate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5981: CDP-diacylglycerol biosynthesis III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5987: sorgoleone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5989: stearate biosynthesis II (bacteria and plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-5993: superpathway of rifamycin B biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5994: palmitate biosynthesis I (animals and fungi),0,0,0,4,0,0,0,0,0,0,0,0
PWY-601: glucosinolate biosynthesis from tryptophan,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6030: serotonin and melatonin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6060: malonate degradation II (biotin-dependent),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6071: superpathway of phenylethylamine degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6098: diploterol and cycloartenol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6107: chlorosalicylate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6109: mangrove triterpenoid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6113: superpathway of mycolate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,12,6,7,12,0,9,2,4,0,2,11,7
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,100,100,97,91,100,97,90,99,100,100,100,100
PWY-6123: inosine-5'-phosphate biosynthesis I,1,0,9,23,4,16,44,0,0,0,0,0
PWY-6124: inosine-5'-phosphate biosynthesis II,100,100,96,95,100,99,97,100,100,100,100,100
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6145: superpathway of sialic acids and CMP-sialic acids biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6151: S-adenosyl-L-methionine cycle I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,100,100,99,94,100,97,89,100,99,100,100,100
PWY-6165: chorismate biosynthesis II (archaea),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6168: flavin biosynthesis III (fungi),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6174: mevalonate pathway II (archaea),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6182: superpathway of salicylate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6185: 4-methylcatechol degradation (ortho cleavage),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6190: 2,4-dichlorotoluene degradation",0,0,3,5,0,0,1,0,0,0,0,0
"PWY-6200: 2,4,5-trichlorophenoxyacetate degradation",0,0,0,0,0,0,0,0,0,0,0,0
PWY-621: sucrose degradation III (sucrose invertase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6210: 2-aminophenol degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6215: 4-chlorobenzoate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-622: starch biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6266: superpathway of flavones and derivatives biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6269: adenosylcobalamin salvage from cobinamide II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6270: isoprene biosynthesis I,55,12,72,75,79,0,58,0,1,12,11,3
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis,100,100,97,91,100,97,90,99,100,100,100,100
PWY-6279: myxol-2' fucoside biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6286: spheroidene and spheroidenone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian),0,0,0,3,0,0,0,0,0,0,0,0
PWY-6305: putrescine biosynthesis IV,9,34,49,31,41,30,24,43,1,1,5,3
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)",0,8,7,13,1,1,1,0,0,1,1,0
PWY-6313: serotonin degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6317: galactose degradation I (Leloir pathway),0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",100,100,89,72,99,85,82,99,93,88,98,71
PWY-6322: phosphinothricin tripeptide biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6324: rebeccamycin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6328: L-lysine degradation X,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6336: protocatechuate degradation III (para-cleavage pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6338: superpathway of vanillin and vanillate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6339: syringate degradation,0,0,0,2,0,0,0,0,0,0,0,0
PWY-6342: noradrenaline and adrenaline degradation,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6351: D-myo-inositol (1,4,5)-trisphosphate biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6352: 3-phosphoinositide biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6353: purine nucleotides degradation II (aerobic),0,0,0,21,0,0,8,0,0,0,0,0
PWY-6367: D-myo-inositol-5-phosphate metabolism,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6395: superpathway of seleno-compound metabolism,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6396: superpathway of 2,3-butanediol biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6409: pyoverdine I biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6415: L-ascorbate biosynthesis V,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6432: curcuminoid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6433: hydroxylated fatty acid biosynthesis (plants),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6435: 4-hydroxybenzoate biosynthesis V,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6491: D-galacturonate degradation III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6505: L-tryptophan degradation XII (Geobacillus),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6516: superpathway of microbial D-galacturonate and D-glucuronate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6518: glycocholate metabolism (bacteria),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6527: stachyose degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6531: mannitol cycle,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6538: caffeine degradation III (bacteria, via demethylation)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6544: superpathway of C28 brassinosteroid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III,67,31,36,73,2,1,82,41,1,69,6,11
PWY-6549: L-glutamine biosynthesis III,40,36,33,26,18,18,32,17,5,16,27,13
PWY-6557: glycoaminoglycan-protein linkage region biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6559: spermidine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6562: norspermidine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6565: superpathway of polyamine biosynthesis III,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6581: spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6583: pyruvate fermentation to butanol I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6588: pyruvate fermentation to acetone,0,0,0,34,0,0,19,0,0,0,0,0
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6594: superpathway of Clostridium acetobutylicum solventogenic fermentation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6596: adenosine nucleotides degradation I,0,0,0,0,0,0,0,0,0,0,0,98
PWY-6598: sciadonate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6604: superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6608: guanosine nucleotides degradation III,0,0,0,10,0,0,4,0,0,0,0,0
PWY-6609: adenine and adenosine salvage III,55,52,27,51,79,50,22,54,47,65,34,49
PWY-6612: superpathway of tetrahydrofolate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6627: salinosporamide A biosynthesis,0,0,92,0,0,0,95,98,0,0,100,0
PWY-6628: superpathway of L-phenylalanine biosynthesis,66,73,46,60,64,74,52,55,25,32,62,37
PWY-6629: superpathway of L-tryptophan biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6630: superpathway of L-tyrosine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6632: caffeine degradation IV (bacteria, via demethylation and oxidation)",0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6633: caffeine degradation V (bacteria, via trimethylurate)",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6637: sulfolactate degradation II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6641: superpathway of sulfolactate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6644: fluoroacetate and fluorothreonine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6654: phosphopantothenate biosynthesis III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6659: fusicoccin A biosynthesis,0,35,47,15,0,47,55,21,17,29,70,40
PWY-6660: 2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6662: superpathway of quinolone and alkylquinolone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6672: cis-genanyl-CoA degradation,100,100,100,100,100,100,100,100,100,100,100,100
PWY-6679: jadomycin biosynthesis,100,100,100,100,100,100,100,100,100,100,100,100
PWY-6682: dehydrophos biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6689: tRNA splicing,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6700: queuosine biosynthesis,100,94,87,86,94,96,65,98,83,94,98,100
PWY-6703: preQ0 biosynthesis,0,0,0,0,0,0,3,0,0,0,0,0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6713: L-rhamnose degradation II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6722: candicidin biosynthesis,100,100,100,100,100,99,100,100,100,100,100,100
PWY-6724: starch degradation II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6728: methylaspartate cycle,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6731: starch degradation III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6733: sporopollenin precursors biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6737: starch degradation V,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6749: CMP-legionaminate biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6760: xylose degradation III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6763: salicortin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6769: rhamnogalacturonan type I degradation I (fungi),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6785: hydrogen production VIII,0,0,0,1,0,0,1,0,0,0,0,0
PWY-6787: flavonoid biosynthesis (in equisetum),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6803: phosphatidylcholine acyl editing,0,0,0,0,0,0,0,0,0,0,0,0
PWY-681: dibenzothiophene desulfurization,0,0,3,0,0,1,0,0,0,0,0,0
PWY-6823: molybdenum cofactor biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6834: spermidine biosynthesis III,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6842: glutathione-mediated detoxification II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6855: chitin degradation I (archaea),0,0,3,19,0,0,40,1,0,0,0,0
PWY-6857: retinol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6859: all-trans-farnesol biosynthesis,19,3,30,14,36,12,23,8,0,3,3,1
PWY-6861: the visual cycle I (vertebrates),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6863: pyruvate fermentation to hexanol,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6876: isopropanol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6883: pyruvate fermentation to butanol II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6886: 1-butanol autotrophic biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6891: thiazole biosynthesis II (Bacillus),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6892: thiazole biosynthesis I (E. coli),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6895: superpathway of thiamin diphosphate biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6897: thiamin salvage II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6901: superpathway of glucose and xylose degradation,0,0,0,13,0,0,0,0,0,0,0,0
PWY-6906: chitin derivatives degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6919: neopentalenoketolactone and pentalenate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6920: 6-gingerol analog biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6922: L-N&delta;-acetylornithine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6928: superpathway of cholesterol degradation I (cholesterol oxidase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6936: seleno-amino acid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6937: superpathway of testosterone and androsterone degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6940: icosapentaenoate biosynthesis III (fungi),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6944: androstenedione degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6945: cholesterol degradation to androstenedione I (cholesterol oxidase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6946: cholesterol degradation to androstenedione II (cholesterol dehydrogenase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6947: superpathway of cholesterol degradation II (cholesterol dehydrogenase),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6948: sitosterol degradation to androstenedione,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6953: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6954: superpathway of aromatic compound degradation via 2-oxopent-4-enoate,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6956: naphthalene degradation to acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6957: mandelate degradation to acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6958: icosapentaenoate biosynthesis I (lower eukaryotes),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),100,100,100,99,100,100,100,100,100,100,100,100
PWY-6971: oleandomycin biosynthesis,0,100,0,0,0,99,0,0,0,0,0,0
"PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis",100,100,100,96,100,99,96,100,100,100,100,100
PWY-6974: dTDP-L-olivose biosynthesis,100,100,99,97,100,99,96,100,100,100,100,100
PWY-6976: dTDP-L-mycarose biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6978: plastoquinol-9 biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6981: chitin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6984: lipoate salvage II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6989: (-)-camphor degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-699: brassinosteroid biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6992: 1,5-anhydrofructose degradation",0,0,0,0,0,0,0,0,0,0,0,0
PWY-6993: nicotine degradation II (pyrrolidine pathway),0,0,0,0,0,0,0,0,0,0,0,0
PWY-6999: theophylline degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7000: kanamycin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7002: 4-hydroxyacetophenone degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7003: glycerol degradation to butanol,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7006: 4-amino-3-hydroxybenzoate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7007: methyl ketone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7013: L-1,2-propanediol degradation",0,0,1,0,0,0,0,0,0,0,0,0
PWY-7014: paromamine biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7022: paromamine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7024: superpathway of the 3-hydroxypropanoate cycle,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7036: very long chain fatty acid biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7039: phosphatidate metabolism, as a signaling molecule",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7043: 11-cis-3-hydroxyretinal biosynthesis,0,0,0,1,0,0,0,0,0,0,0,0
PWY-7044: 5-nitroanthranilate degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7046: 4-coumarate degradation (anaerobic),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7049: icosapentaenoate biosynthesis II (metazoa),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7050: icosapentaenoate biosynthesis IV (bacteria),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7053: docosahexaenoate biosynthesis I (lower eukaryotes),0,0,0,0,0,0,0,0,0,0,0,0
PWY-7077: N-acetyl-D-galactosamine degradation,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7084: nitrifier denitrification,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0
PWY-7094: fatty acid salvage,49,60,46,60,75,47,54,51,56,45,44,63
PWY-7097: vanillin and vanillate degradation I,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7098: vanillin and vanillate degradation II,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7104: dTDP-L-megosamine biosynthesis,100,100,92,97,100,93,84,100,100,100,98,100
PWY-7111: pyruvate fermentation to isobutanol (engineered),100,100,100,100,100,100,100,100,100,100,100,100
PWY-7112: 4-hydroxy-2-nonenal detoxification,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",44,38,31,35,44,9,26,22,14,15,12,19
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",49,48,36,43,45,30,47,22,33,27,32,18
PWY-7118: chitin degradation to ethanol,0,0,0,0,0,0,0,0,0,0,0,0
