"","LevelD","MM1","MM2","MM3","MM4","MV1","MV2","MV3","UM1","UM2","UM3","UM4","UM5","Order","LevelA","LevelB","LevelC_id","LevelC","LevelD_id","EC"
"1276","K00780",6,0,0,0,0,0,0,0,25,0,5,0,5196,"Metabolism","Glycan biosynthesis and metabolism",512,"Mucin type O-glycan biosynthesis [PATH:ko00512]","SIAT4A; beta-galactoside alpha-2	3-sialyltransferase (sialyltransferase 4A) ","[EC:2.4.99.4]								"
"1277","K00780",6,0,0,0,0,0,0,0,25,0,5,0,5284,"Metabolism","Glycan biosynthesis and metabolism",533,"Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533]","SIAT4A; beta-galactoside alpha-2	3-sialyltransferase (sialyltransferase 4A) ","[EC:2.4.99.4]								"
"1278","K00781",17,16,0,0,0,0,0,0,0,0,0,0,5185,"Metabolism","Glycan biosynthesis and metabolism",513,"Various types of N-glycan biosynthesis [PATH:ko00513]","SIAT6; N-acetyllactosaminide alpha-2	3-sialyltransferase (sialyltransferase 6) ","[EC:2.4.99.6]								"
"1279","K00781",17,16,0,0,0,0,0,0,0,0,0,0,5281,"Metabolism","Glycan biosynthesis and metabolism",533,"Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533]","SIAT6; N-acetyllactosaminide alpha-2	3-sialyltransferase (sialyltransferase 6) ","[EC:2.4.99.6]								"
"1280","K00781",17,16,0,0,0,0,0,0,0,0,0,0,5206,"Metabolism","Glycan biosynthesis and metabolism",514,"Other types of O-glycan biosynthesis [PATH:ko00514]","SIAT6; N-acetyllactosaminide alpha-2	3-sialyltransferase (sialyltransferase 6) ","[EC:2.4.99.6]								"
"1281","K00781",17,16,0,0,0,0,0,0,0,0,0,0,5335,"Metabolism","Glycan biosynthesis and metabolism",601,"Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]","SIAT6; N-acetyllactosaminide alpha-2	3-sialyltransferase (sialyltransferase 6) ","[EC:2.4.99.6]								"
"1282","K00782",3950,3566,1352,309,5272,1827,1074,3823,4408,5384,4819,5050,16182,"","",NA,"","hypothetical protein",""
"1283","K00783",14860,12098,4196,1976,17464,6058,2871,13399,11501,12895,10466,16136,16183,"","",NA,"","hypothetical protein",""
"1284","K00784",6045,5556,1794,1316,9173,2561,1000,5643,6760,6852,8098,8580,8131,"Genetic Information Processing","Translation",3013,"RNA transport [PATH:ko03013]","rnz; ribonuclease Z ","[EC:3.1.26.11]									"
"1285","K00786",397,285,76,20,543,60,125,580,323,416,568,741,17985,"","",NA,"","NO_NAME",""
"1286","K00787",0,22,18,0,126,23,36,4,34,69,170,31,5989,"Metabolism","Metabolism of terpenoids and polyketides",900,"Terpenoid backbone biosynthesis [PATH:ko00900]","FDPS; farnesyl diphosphate synthase ","[EC:2.5.1.1 2.5.1.10]									"
"1287","K00788",7729,6019,2147,1458,10398,3002,1744,6311,7328,8749,8388,11891,5494,"Metabolism","Metabolism of cofactors and vitamins",730,"Thiamine metabolism [PATH:ko00730]","thiE; thiamine-phosphate pyrophosphorylase ","[EC:2.5.1.3]									"
"1288","K00789",21027,18210,6048,4231,28850,7918,4391,19164,18366,22624,20124,29077,4119,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","metK; S-adenosylmethionine synthetase ","[EC:2.5.1.6]									"
"1289","K00789",21027,18210,6048,4231,28850,7918,4391,19164,18366,22624,20124,29077,582,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","metK; S-adenosylmethionine synthetase ","[EC:2.5.1.6]									"
"1290","K00790",21904,17701,6021,3749,27882,7902,4786,20492,18995,21207,22308,29738,1574,"Metabolism","Carbohydrate metabolism",520,"Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase ","[EC:2.5.1.7]									"
"1291","K00790",21904,17701,6021,3749,27882,7902,4786,20492,18995,21207,22308,29738,5421,"Metabolism","Glycan biosynthesis and metabolism",550,"Peptidoglycan biosynthesis [PATH:ko00550]","murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase ","[EC:2.5.1.7]									"
"1292","K00791",14643,11904,4709,2748,21427,5915,3045,18987,14508,17312,17255,21786,6229,"Metabolism","Metabolism of terpenoids and polyketides",908,"Zeatin biosynthesis [PATH:ko00908]","miaA	 TRIT1; tRNA dimethylallyltransferase ","[EC:2.5.1.75]								"
"1293","K00793",3979,2737,1684,1000,4721,1488,625,4290,3591,3745,3987,5327,5514,"Metabolism","Metabolism of cofactors and vitamins",740,"Riboflavin metabolism [PATH:ko00740]","ribE	 RIB5; riboflavin synthase ","[EC:2.5.1.9]								"
"1294","K00794",16341,13769,5511,2546,21363,5896,3871,15353,12791,14135,17030,20616,5513,"Metabolism","Metabolism of cofactors and vitamins",740,"Riboflavin metabolism [PATH:ko00740]","ribH	 RIB4; 6	7-dimethyl-8-ribityllumazine synthase ","[EC:2.5.1.78]							"
"1295","K00795",886,560,264,115,937,226,75,616,532,621,454,833,5990,"Metabolism","Metabolism of terpenoids and polyketides",900,"Terpenoid backbone biosynthesis [PATH:ko00900]","ispA; farnesyl diphosphate synthase ","[EC:2.5.1.1 2.5.1.10]									"
"1296","K00796",4952,3257,1170,657,4859,1757,604,3979,3817,4256,4387,5926,5684,"Metabolism","Metabolism of cofactors and vitamins",790,"Folate biosynthesis [PATH:ko00790]","folP; dihydropteroate synthase ","[EC:2.5.1.15]									"
"1297","K00797",4528,4243,990,926,7626,2357,1210,5759,4912,6267,7024,8073,4889,"Metabolism","Metabolism of other amino acids",410,"beta-Alanine metabolism [PATH:ko00410]","speE	 SRM; spermidine synthase ","[EC:2.5.1.16]								"
"1298","K00797",4528,4243,990,926,7626,2357,1210,5759,4912,6267,7024,8073,4121,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","speE	 SRM; spermidine synthase ","[EC:2.5.1.16]								"
"1299","K00797",4528,4243,990,926,7626,2357,1210,5759,4912,6267,7024,8073,4475,"Metabolism","Amino acid metabolism",330,"Arginine and proline metabolism [PATH:ko00330]","speE	 SRM; spermidine synthase ","[EC:2.5.1.16]								"
"1300","K00797",4528,4243,990,926,7626,2357,1210,5759,4912,6267,7024,8073,5085,"Metabolism","Metabolism of other amino acids",480,"Glutathione metabolism [PATH:ko00480]","speE	 SRM; spermidine synthase ","[EC:2.5.1.16]								"
"1301","K00798",2805,2580,1064,271,3848,1567,995,2954,3674,3000,3452,4642,5851,"Metabolism","Metabolism of cofactors and vitamins",860,"Porphyrin and chlorophyll metabolism [PATH:ko00860]","MMAB	 pduO; cob(I)alamin adenosyltransferase ","[EC:2.5.1.17]								"
"1302","K00799",20170,18467,6789,4971,28788,8079,3377,22728,16974,17806,22922,26244,7652,"Metabolism","Xenobiotics biodegradation and metabolism",982,"Drug metabolism - cytochrome P450 [PATH:ko00982]","GST	 gst; glutathione S-transferase ","[EC:2.5.1.18]								"
"1303","K00799",20170,18467,6789,4971,28788,8079,3377,22728,16974,17806,22922,26244,7615,"Metabolism","Xenobiotics biodegradation and metabolism",980,"Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]","GST	 gst; glutathione S-transferase ","[EC:2.5.1.18]								"
"1304","K00799",20170,18467,6789,4971,28788,8079,3377,22728,16974,17806,22922,26244,5072,"Metabolism","Metabolism of other amino acids",480,"Glutathione metabolism [PATH:ko00480]","GST	 gst; glutathione S-transferase ","[EC:2.5.1.18]								"
"1305","K00800",13737,12231,4363,2493,17582,5005,2755,12075,10678,13079,12994,20264,4824,"Metabolism","Amino acid metabolism",400,"Phenylalanine tyrosine and tryptophan biosynthesis [PATH:ko00400]","aroA; 3-phosphoshikimate 1-carboxyvinyltransferase ","[EC:2.5.1.19]									"
"1306","K00800",13737,12231,4363,2493,17582,5005,2755,12075,10678,13079,12994,20264,683,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","aroA; 3-phosphoshikimate 1-carboxyvinyltransferase ","[EC:2.5.1.19]									"
"1307","K00801",153,137,87,0,210,40,67,33,140,53,173,31,3030,"Metabolism","Lipid metabolism",100,"Steroid biosynthesis [PATH:ko00100]","FDFT1; farnesyl-diphosphate farnesyltransferase ","[EC:2.5.1.21]									"
"1308","K00801",153,137,87,0,210,40,67,33,140,53,173,31,6043,"Metabolism","Metabolism of terpenoids and polyketides",909,"Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909]","FDFT1; farnesyl-diphosphate farnesyltransferase ","[EC:2.5.1.21]									"
"1309","K00802",20,11,0,23,76,18,0,33,38,50,90,78,5088,"Metabolism","Metabolism of other amino acids",480,"Glutathione metabolism [PATH:ko00480]","SMS; spermine synthase ","[EC:2.5.1.22]									"
"1310","K00802",20,11,0,23,76,18,0,33,38,50,90,78,4122,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","SMS; spermine synthase ","[EC:2.5.1.22]									"
"1311","K00802",20,11,0,23,76,18,0,33,38,50,90,78,4890,"Metabolism","Metabolism of other amino acids",410,"beta-Alanine metabolism [PATH:ko00410]","SMS; spermine synthase ","[EC:2.5.1.22]									"
"1312","K00802",20,11,0,23,76,18,0,33,38,50,90,78,4476,"Metabolism","Amino acid metabolism",330,"Arginine and proline metabolism [PATH:ko00330]","SMS; spermine synthase ","[EC:2.5.1.22]									"
"1313","K00803",1254,488,271,215,740,228,118,625,492,454,549,504,3317,"Metabolism","Lipid metabolism",565,"Ether lipid metabolism [PATH:ko00565]","AGPS	 agpS; alkyldihydroxyacetonephosphate synthase ","[EC:2.5.1.26]								"
"1314","K00803",1254,488,271,215,740,228,118,625,492,454,549,504,13965,"Cellular Processes","Transport and catabolism",4146,"Peroxisome [PATH:ko04146]","AGPS	 agpS; alkyldihydroxyacetonephosphate synthase ","[EC:2.5.1.26]								"
"1315","K00804",28,204,80,0,319,7,48,86,23,45,79,31,5992,"Metabolism","Metabolism of terpenoids and polyketides",900,"Terpenoid backbone biosynthesis [PATH:ko00900]","GGPS1; geranylgeranyl diphosphate synthase	 type III ","[EC:2.5.1.1 2.5.1.10 2.5.1.29]								"
"1316","K00805",447,418,195,77,716,121,219,836,976,716,543,846,5999,"Metabolism","Metabolism of terpenoids and polyketides",900,"Terpenoid backbone biosynthesis [PATH:ko00900]","hepST; heptaprenyl diphosphate synthase ","[EC:2.5.1.30]									"
"1317","K00806",19978,17046,5771,4009,25946,7132,4224,22986,15112,21969,23595,29177,6004,"Metabolism","Metabolism of terpenoids and polyketides",900,"Terpenoid backbone biosynthesis [PATH:ko00900]","uppS; undecaprenyl diphosphate synthase ","[EC:2.5.1.31]									"
"1318","K00807",8,0,0,0,13,0,11,0,0,0,0,0,3411,"Metabolism","Lipid metabolism",590,"Arachidonic acid metabolism [PATH:ko00590]","LTC4S; leukotriene-C4 synthase ","[EC:4.4.1.20]									"
"1319","K00808",2472,2659,548,670,2431,861,368,1737,1286,1400,1843,1480,6876,"Metabolism","Biosynthesis of other secondary metabolites",960,"Tropane piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]","hss; homospermidine synthase ","[EC:2.5.1.44]									"
"1320","K00809",2641,2740,630,486,4486,678,566,2164,2931,2635,3085,5341,15765,"","",NA,"","deoxyhypusine synthase ",""
"1321","K00810",237,188,51,24,319,69,48,255,230,224,290,409,17986,"","",NA,"","NO_NAME",""
"1322","K00811",472,397,119,107,720,144,99,659,405,429,468,520,4599,"Metabolism","Amino acid metabolism",350,"Tyrosine metabolism [PATH:ko00350]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1323","K00811",472,397,119,107,720,144,99,659,405,429,468,520,6863,"Metabolism","Biosynthesis of other secondary metabolites",960,"Tropane piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1324","K00811",472,397,119,107,720,144,99,659,405,429,468,520,4536,"Metabolism","Amino acid metabolism",330,"Arginine and proline metabolism [PATH:ko00330]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1325","K00811",472,397,119,107,720,144,99,659,405,429,468,520,565,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1326","K00811",472,397,119,107,720,144,99,659,405,429,468,520,4431,"Metabolism","Amino acid metabolism",220,"Arginine biosynthesis [PATH:ko00220]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1327","K00811",472,397,119,107,720,144,99,659,405,429,468,520,359,"Metabolism","Overview",1210,"2-Oxocarboxylic acid metabolism [PATH:ko01210]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1328","K00811",472,397,119,107,720,144,99,659,405,429,468,520,4699,"Metabolism","Amino acid metabolism",360,"Phenylalanine metabolism [PATH:ko00360]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1329","K00811",472,397,119,107,720,144,99,659,405,429,468,520,4859,"Metabolism","Amino acid metabolism",400,"Phenylalanine tyrosine and tryptophan biosynthesis [PATH:ko00400]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1330","K00811",472,397,119,107,720,144,99,659,405,429,468,520,3945,"Metabolism","Amino acid metabolism",250,"Alanine aspartate and glutamate metabolism [PATH:ko00250]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1331","K00811",472,397,119,107,720,144,99,659,405,429,468,520,6818,"Metabolism","Biosynthesis of other secondary metabolites",950,"Isoquinoline alkaloid biosynthesis [PATH:ko00950]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1332","K00811",472,397,119,107,720,144,99,659,405,429,468,520,4174,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","ASP5; aspartate aminotransferase	 chloroplastic ","[EC:2.6.1.1]								"
"1333","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,4432,"Metabolism","Amino acid metabolism",220,"Arginine biosynthesis [PATH:ko00220]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1334","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,3946,"Metabolism","Amino acid metabolism",250,"Alanine aspartate and glutamate metabolism [PATH:ko00250]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1335","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,4600,"Metabolism","Amino acid metabolism",350,"Tyrosine metabolism [PATH:ko00350]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1336","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,7049,"Metabolism","Biosynthesis of other secondary metabolites",401,"Novobiocin biosynthesis [PATH:ko00401]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1337","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,4700,"Metabolism","Amino acid metabolism",360,"Phenylalanine metabolism [PATH:ko00360]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1338","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,360,"Metabolism","Overview",1210,"2-Oxocarboxylic acid metabolism [PATH:ko01210]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1339","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,4175,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1340","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,6819,"Metabolism","Biosynthesis of other secondary metabolites",950,"Isoquinoline alkaloid biosynthesis [PATH:ko00950]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1341","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,4537,"Metabolism","Amino acid metabolism",330,"Arginine and proline metabolism [PATH:ko00330]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1342","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,6864,"Metabolism","Biosynthesis of other secondary metabolites",960,"Tropane piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1343","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,4860,"Metabolism","Amino acid metabolism",400,"Phenylalanine tyrosine and tryptophan biosynthesis [PATH:ko00400]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1344","K00812",7453,6569,2276,1632,9100,2948,1250,7056,6346,8055,7315,10054,566,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","aspB; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1345","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,4861,"Metabolism","Amino acid metabolism",400,"Phenylalanine tyrosine and tryptophan biosynthesis [PATH:ko00400]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1346","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,6865,"Metabolism","Biosynthesis of other secondary metabolites",960,"Tropane piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1347","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,3947,"Metabolism","Amino acid metabolism",250,"Alanine aspartate and glutamate metabolism [PATH:ko00250]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1348","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,567,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1349","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,361,"Metabolism","Overview",1210,"2-Oxocarboxylic acid metabolism [PATH:ko01210]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1350","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,4433,"Metabolism","Amino acid metabolism",220,"Arginine biosynthesis [PATH:ko00220]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1351","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,4601,"Metabolism","Amino acid metabolism",350,"Tyrosine metabolism [PATH:ko00350]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1352","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,7050,"Metabolism","Biosynthesis of other secondary metabolites",401,"Novobiocin biosynthesis [PATH:ko00401]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1353","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,4538,"Metabolism","Amino acid metabolism",330,"Arginine and proline metabolism [PATH:ko00330]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1354","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,4701,"Metabolism","Amino acid metabolism",360,"Phenylalanine metabolism [PATH:ko00360]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1355","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,6820,"Metabolism","Biosynthesis of other secondary metabolites",950,"Isoquinoline alkaloid biosynthesis [PATH:ko00950]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1356","K00813",2646,2348,626,487,3182,849,388,2654,2229,1965,2503,2545,4176,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","aspC; aspartate aminotransferase ","[EC:2.6.1.1]									"
"1357","K00814",344,332,86,91,227,77,93,345,230,319,413,297,3959,"Metabolism","Amino acid metabolism",250,"Alanine aspartate and glutamate metabolism [PATH:ko00250]","GPT	 ALT; alanine transaminase ","[EC:2.6.1.2]								"
"1358","K00814",344,332,86,91,227,77,93,345,230,319,413,297,156,"Metabolism","Overview",1200,"Carbon metabolism [PATH:ko01200]","GPT	 ALT; alanine transaminase ","[EC:2.6.1.2]								"
"1359","K00814",344,332,86,91,227,77,93,345,230,319,413,297,4435,"Metabolism","Amino acid metabolism",220,"Arginine biosynthesis [PATH:ko00220]","GPT	 ALT; alanine transaminase ","[EC:2.6.1.2]								"
"1360","K00814",344,332,86,91,227,77,93,345,230,319,413,297,366,"Metabolism","Overview",1210,"2-Oxocarboxylic acid metabolism [PATH:ko01210]","GPT	 ALT; alanine transaminase ","[EC:2.6.1.2]								"
"1361","K00814",344,332,86,91,227,77,93,345,230,319,413,297,560,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","GPT	 ALT; alanine transaminase ","[EC:2.6.1.2]								"
"1362","K00814",344,332,86,91,227,77,93,345,230,319,413,297,2479,"Metabolism","Energy metabolism",710,"Carbon fixation in photosynthetic organisms [PATH:ko00710]","GPT	 ALT; alanine transaminase ","[EC:2.6.1.2]								"
"1363","K00815",101,24,60,3,220,116,0,162,44,95,79,172,4604,"Metabolism","Amino acid metabolism",350,"Tyrosine metabolism [PATH:ko00350]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1364","K00815",101,24,60,3,220,116,0,162,44,95,79,172,4704,"Metabolism","Amino acid metabolism",360,"Phenylalanine metabolism [PATH:ko00360]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1365","K00815",101,24,60,3,220,116,0,162,44,95,79,172,6868,"Metabolism","Biosynthesis of other secondary metabolites",960,"Tropane piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1366","K00815",101,24,60,3,220,116,0,162,44,95,79,172,4864,"Metabolism","Amino acid metabolism",400,"Phenylalanine tyrosine and tryptophan biosynthesis [PATH:ko00400]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1367","K00815",101,24,60,3,220,116,0,162,44,95,79,172,6823,"Metabolism","Biosynthesis of other secondary metabolites",950,"Isoquinoline alkaloid biosynthesis [PATH:ko00950]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1368","K00815",101,24,60,3,220,116,0,162,44,95,79,172,4143,"Metabolism","Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1369","K00815",101,24,60,3,220,116,0,162,44,95,79,172,5912,"Metabolism","Metabolism of cofactors and vitamins",130,"Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1370","K00815",101,24,60,3,220,116,0,162,44,95,79,172,7052,"Metabolism","Biosynthesis of other secondary metabolites",401,"Novobiocin biosynthesis [PATH:ko00401]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1371","K00815",101,24,60,3,220,116,0,162,44,95,79,172,709,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","TAT; tyrosine aminotransferase ","[EC:2.6.1.5]									"
"1372","K00816",967,863,382,253,1555,402,145,762,963,939,1186,1256,4989,"Metabolism","Metabolism of other amino acids",450,"Selenocompound metabolism [PATH:ko00450]","CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase ","[EC:2.6.1.7 4.4.1.13 2.6.1.64]									"
"1373","K00816",967,863,382,253,1555,402,145,762,963,939,1186,1256,4764,"Metabolism","Amino acid metabolism",380,"Tryptophan metabolism [PATH:ko00380]","CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase ","[EC:2.6.1.7 4.4.1.13 2.6.1.64]									"
"1374","K00817",21634,15754,5556,3477,25696,7040,4255,21867,18137,21515,21374,25322,4605,"Metabolism","Amino acid metabolism",350,"Tyrosine metabolism [PATH:ko00350]","hisC; histidinol-phosphate aminotransferase ","[EC:2.6.1.9]									"
"1375","K00817",21634,15754,5556,3477,25696,7040,4255,21867,18137,21515,21374,25322,667,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","hisC; histidinol-phosphate aminotransferase ","[EC:2.6.1.9]									"
"1376","K00817",21634,15754,5556,3477,25696,7040,4255,21867,18137,21515,21374,25322,6869,"Metabolism","Biosynthesis of other secondary metabolites",960,"Tropane piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]","hisC; histidinol-phosphate aminotransferase ","[EC:2.6.1.9]									"
"1377","K00817",21634,15754,5556,3477,25696,7040,4255,21867,18137,21515,21374,25322,4705,"Metabolism","Amino acid metabolism",360,"Phenylalanine metabolism [PATH:ko00360]","hisC; histidinol-phosphate aminotransferase ","[EC:2.6.1.9]									"
"1378","K00817",21634,15754,5556,3477,25696,7040,4255,21867,18137,21515,21374,25322,7053,"Metabolism","Biosynthesis of other secondary metabolites",401,"Novobiocin biosynthesis [PATH:ko00401]","hisC; histidinol-phosphate aminotransferase ","[EC:2.6.1.9]									"
"1379","K00817",21634,15754,5556,3477,25696,7040,4255,21867,18137,21515,21374,25322,4565,"Metabolism","Amino acid metabolism",340,"Histidine metabolism [PATH:ko00340]","hisC; histidinol-phosphate aminotransferase ","[EC:2.6.1.9]									"
"1380","K00817",21634,15754,5556,3477,25696,7040,4255,21867,18137,21515,21374,25322,4865,"Metabolism","Amino acid metabolism",400,"Phenylalanine tyrosine and tryptophan biosynthesis [PATH:ko00400]","hisC; histidinol-phosphate aminotransferase ","[EC:2.6.1.9]									"
"1381","K00818",9331,7422,2623,1374,11497,3358,1722,8092,7570,8684,9053,12950,378,"Metabolism","Overview",1210,"2-Oxocarboxylic acid metabolism [PATH:ko01210]","E2.6.1.11	 argD; acetylornithine aminotransferase ","[EC:2.6.1.11]								"
"1382","K00818",9331,7422,2623,1374,11497,3358,1722,8092,7570,8684,9053,12950,4446,"Metabolism","Amino acid metabolism",220,"Arginine biosynthesis [PATH:ko00220]","E2.6.1.11	 argD; acetylornithine aminotransferase ","[EC:2.6.1.11]								"
"1383","K00818",9331,7422,2623,1374,11497,3358,1722,8092,7570,8684,9053,12950,629,"Metabolism","Overview",1230,"Biosynthesis of amino acids [PATH:ko01230]","E2.6.1.11	 argD; acetylornithine aminotransferase ","[EC:2.6.1.11]								"
"1384","K00819",4040,4181,1394,678,4940,1602,749,4122,3164,4481,3576,6512,4521,"Metabolism","Amino acid metabolism",330,"Arginine and proline metabolism [PATH:ko00330]","rocD	 OAT; ornithine--oxo-acid transaminase ","[EC:2.6.1.13]								"
"1385","K00820",22062,17885,6548,4091,28826,8757,3991,22012,19687,20434,22865,30302,1598,"Metabolism","Carbohydrate metabolism",520,"Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","glmS	 GFPT; glucosamine--fructose-6-phosphate aminotransferase (isomerizing) ","[EC:2.6.1.16]								"
"1386","K00820",22062,17885,6548,4091,28826,8757,3991,22012,19687,20434,22865,30302,4008,"Metabolism","Amino acid metabolism",250,"Alanine aspartate and glutamate metabolism [PATH:ko00250]","glmS	 GFPT; glucosamine--fructose-6-phosphate aminotransferase (isomerizing) ","[EC:2.6.1.16]								"
"1387","K00821",9418,7705,3011,1530,12255,3352,1558,8328,8025,9035,9680,13379,4447,"Metabolism","Amino acid metabolism",220,"Arginine biosynthesis [PATH:ko00220]","argD; acetylornithine/N-succinyldiaminopimelate aminotransferase ","[EC:2.6.1.11 2.6.1.17]									"
